tags,developer,publisher,day,year,price,score
"Multiplayer,LAN PvP,2D,Sci-fi,Survival,Social Deduction,Psychological,Minigames,Indie,LAN Co-op,Casual,Aliens,Colorful,Cartoony,Online PvP,Space,Online Co-op,Local Multiplayer,Co-op,Cross-Platform Multiplayer,PvP,Top-Down,Local Co-Op,Funny,Online Co-Op",Innersloth,Innersloth,320,2018,4.99,93.83695517
"Trading,eSports,Shooter,Multiplayer,Steam Workshop,Team-Based,Military,War,Action,Difficult,Moddable,Competitive,Fast-Paced,FPS,First-Person,Stats,Tactical,Co-op,Realistic,In-App Purchases,Strategy,PvP,Online Co-Op","Valve, Hidden Path Entertainment",Valve,234,2012,0,86.57728773
"Physics,Massively Multiplayer,Family Friendly,Multiplayer,Action,Controller,Comedy,Difficult,Indie,Casual,Colorful,Battle Royale,Online PvP,Online Co-op,3D Platformer,Cute,Great Soundtrack,Co-op,In-App Purchases,Party Game,MMO,Local Co-Op,Funny,Online Co-Op",Mediatonic,Devolver Digital,216,2020,19.99,79.01907711
"Steam Cloud,Simulation,Historical,Character Customization,Multiplayer,Steam Workshop,Sandbox, Grand Strategy,War,Political,Moddable,Medieval,Dating Sim,Management,Nudity,Online PvP,Real-Time with Pause,Great Soundtrack,Strategy,RPG,Sexual Content,Single-player,Choices Matter",Paradox Development Studio,Paradox Interactive,245,2020,49.99,89.62832404
"Shooter,Free to Play,Massively Multiplayer,Multiplayer,Sci-fi,Action,Adventure,FPS,First-Person,Online PvP,Space,Online Co-op,Great Soundtrack,Atmospheric,Lore-Rich,MMORPG,Co-op,Looter Shooter,In-App Purchases,Loot,Open World,Single-player,Online Co-Op",Bungie,Bungie ,274,2019,0,85.01929405
"Steam Cloud,Roguelite,Mythology,Story Rich,Action,Dungeon Crawler,Isometric,Difficult,Indie,Action RPG,Captions available,Roguelike,Hand-drawn,Hack and Slash,Great Soundtrack,Replay Value,Atmospheric,Early Access,Perma Death,Action Roguelike,RPG,Single-player",Supergiant Games,Supergiant Games,261,2020,24.99,96.00865746
"Massively Multiplayer,Multiplayer,Naval,Action,Adventure,Sailing,FPS,Exploration,First-Person,Swordplay,Online PvP,Online Co-op,Great Soundtrack,Atmospheric,Co-op,In-App Purchases,Cross-Platform Multiplayer,Open World,PvP,Pirates,PvE,Funny,Online Co-Op",Rare Ltd,Xbox Game Studios,155,2020,39.99,85.16870046
"Shooter,Physics,Massively Multiplayer,Multiplayer,Team-Based,Psychological Horror,Action,Competitive,Casual,FPS,First-Person,Destruction,Online PvP,Online Co-op,Atmospheric,Tactical, Hero Shooter,Co-op,Realistic,In-App Purchases,Strategy,Single-player,Online Co-Op",Ubisoft Montreal,Ubisoft,335,2015,19.99,87.21453808
"eSports,Simulation,Free to Play,Character Customization,Multiplayer,Steam Workshop,Team-Based,Tower Defense,Action,Difficult,Competitive,Action RPG,RTS,MOBA,Replay Value,Co-op,Fantasy,Strategy,RPG,PvP,Online Co-Op",Valve,Valve,190,2013,0,83.40440571
"Third Person,Massively Multiplayer,Character Customization,Multiplayer,Sandbox,Story Rich,Action,Adventure,Action RPG,Exploration,First-Person,Magic,Great Soundtrack,Atmospheric,MMORPG,Co-op,Fantasy,RPG,Open World,MMO",Zenimax Online Studios,Bethesda Softworks,94,2014,19.99,80.57054299
"Free to Play,Massively Multiplayer,Character Customization,Multiplayer,Action,Dark Fantasy,Dungeon Crawler,Fishing,Adventure,Indie,Action RPG,Inventory Management,Online PvP,Hack and Slash,MMORPG,Co-op,Fantasy,In-App Purchases,RPG,Loot,Single-player,MMO,PvE,Online Co-Op",Grinding Gear Games,Grinding Gear Games,296,2013,0,91.69708648
"Steam Cloud,Violent,Shooter,Multiplayer,Co-op Campaign,Gore,Action,Online Co-Op,Comedy,Adventure,LAN Co-op,FPS,Nudity,First-Person,Online Co-op,Great Soundtrack,Co-op,Cross-Platform Multiplayer,RPG,Open World,Loot,Single-player,Epic,Looter Shooter",Gearbox Software,2K,73,2020,59.99,80.30800104
"Steam Cloud,Violent,Third Person,Multiplayer,Team-Based,Blood,Gore,Mature,Survival,Psychological Horror,Action,Difficult,Comedy,Horror,First-Person,Online PvP,Online Co-op,Stealth,Atmospheric,Co-op,Survival Horror,Strategy,Online Co-Op",Behaviour Interactive Inc.,Behaviour Interactive Inc.,166,2016,19.99,81.05504313
"Simulation,Physics,Family Friendly,Multiplayer,Logic,Auto Battler,TrackIR,Adventure,Life Sim,VR,Colorful,Beautiful,Flight,Atmospheric,Surreal,Realistic,In-App Purchases,Open World,Single-player,Short,Real-Time",Asobo Studio,Xbox Game Studios,230,2020,59.99,70.00664776
"Anime,Massively Multiplayer,Character Customization,Multiplayer,Story Rich,Female Protagonist,Action,Adventure,Action RPG,Online PvP,Online Co-op,Magic,Great Soundtrack,Atmospheric,MMORPG,Co-op,Fantasy,Cross-Platform Multiplayer,RPG,Open World,Single-player,MMO,JRPG,Online Co-Op",Square Enix,Square Enix,49,2014,19.99,83.95109479
"Violent,Simulation,Third Person,Massively Multiplayer,Character Customization,Multiplayer,Sandbox,Female Protagonist,Action,Fishing,Adventure,Online PvP,Online Co-op,Hack and Slash,MMORPG,Co-op,Fantasy,In-App Purchases,Strategy,RPG,Open World,PvP,MMO,PvE",Pearl Abyss,Kakao Games Europe B.V.,144,2017,9.99,73.26599734
"Steam Cloud,Violent,Shooter,Post-apocalyptic,Story Rich,Sci-fi,Gore,Survival,Psychological Horror,Action,Adventure,Horror,FPS,Exploration,First-Person,Great Soundtrack,Stealth,Atmospheric,Survival Horror,Open World,Single-player",4A Games,Deep Silver ,45,2019,39.99,83.04715082
"Violent,Massively Multiplayer,Crafting,Multiplayer,Steam Workshop,Sandbox,Gore,Survival,Open World Survival Craft,Action,Building,Adventure,Exploration,Nudity,Online PvP,Online Co-op,Co-op,Fantasy,RPG,Open World,PvP,Single-player,Online Co-Op",Funcom,Funcom,128,2018,39.99,75.42692248
"Shooter,Simulation,Free to Play,Massively Multiplayer,Historical,Multiplayer,Team-Based,Military,War,Action,TrackIR,World War II,FPS,Tanks,Flight,Arcade,Co-op,Realistic,In-App Purchases,Strategy,Cross-Platform Multiplayer,Open World,Single-player,MMO",Gaijin Entertainment,Gaijin Distribution KFT,227,2013,0,78.94929205
"Steam Cloud,Shooter,Class-Based,Multiplayer,Sci-fi,Survival,Action,FPS,Captions available,Exploration,Dark,First-Person,Online Co-op,Atmospheric,Procedural Generation,Co-op,Looter Shooter,Action Roguelike,Loot,Single-player,Combat,PvE,Online Co-Op",Ghost Ship Games,Coffee Stain Publishing,134,2020,29.99,94.0572105
"Shooter,Simulation,Crafting,Multiplayer,Steam Workshop,Sandbox,Post-apocalyptic,Survival,Open World Survival Craft,Action,Building,Adventure,Indie,FPS,Nudity,First-Person,Online PvP,Stats,Online Co-op,Co-op,Early Access,In-App Purchases,Cross-Platform Multiplayer,Open World,PvP,MMO,Online Co-Op",Facepunch Studios,Facepunch Studios,39,2018,39.99,83.11871551
"Shared/Split Screen Co-op,Mystery,In-App Purchases,Online PvP,Cross-Platform Multiplayer,Downloadable Content,Online Co-op,Multiplayer,Cute,Shared/Split Screen PvP,Casual",Innersloth,,158,2019,2.99,90.9228236
"Trading,Shooter,Free to Play,Class-Based,Crafting,Multiplayer,Steam Workshop,Team-Based,Cartoon,Action,Comedy,Competitive,FPS,Captions available,Cartoony,First-Person,Stats,Robots, Hero Shooter,Tactical,Co-op,In-App Purchases,Cross-Platform Multiplayer,Includes level editor,Funny,Online Co-Op",Valve,Valve,283,2007,0,93.18729774
"Shooter,Multiplayer,LAN PvP,Story Rich,Sci-fi,Action,Adventure,LAN Co-op,FPS,Horror,Aliens,First-Person,Online PvP,Beautiful,Space,Online Co-op,Great Soundtrack,Atmospheric,Lore-Rich,Co-op,Classic,Single-player,Epic,Online Co-Op","343 Industries, Splash Damage, Ruffian Games, Bungie, Saber Interactive",Xbox Game Studios,337,2019,39.99,89.58489463
"Anime,Free to Play,Massively Multiplayer,Character Customization,Multiplayer,Mechs,Sci-fi,Action,Hentai,Action RPG,Memes,Online Co-op,Cute,Great Soundtrack,MMORPG,Co-op,Farming Sim,Fantasy,In-App Purchases,Cross-Platform Multiplayer,RPG,JRPG,Online Co-Op",SEGA,SEGA,218,2020,0,79.87395643
"Shooter,Third Person,Multiplayer,Sandbox,Story Rich,Gore,Mature,Action,Horses,Adventure,FPS,Third-Person Shooter,First-Person,Online PvP,Beautiful,Online Co-op,Great Soundtrack,Atmospheric,Western,Realistic,In-App Purchases,Open World,Single-player",Rockstar Games,Rockstar Games,339,2019,59.99,76.78948225
"eSports,Third Person,Free to Play,Massively Multiplayer,Mythology,Multiplayer,Team-Based,Survival,Action,Competitive,nan,Adventure,Casual,Nudity,MOBA,MMORPG,Co-op,Strategy,RPG,PvP,Funny",Titan Forge Games,Hi-Rez Studios,251,2015,0,78.62932637
"Steam Cloud,Third Person,Character Customization,Multiplayer,Action,Difficult,Adventure,Action RPG,Exploration,Stats,Hack and Slash,Great Soundtrack,Replay Value,Atmospheric,MMORPG,Co-op,Souls-like,Fantasy,RPG,Open World,Single-player,Steam Leaderboards,JRPG",CAPCOM Co.,CAPCOM Co.,221,2018,29.99,82.87329084
"Steam Cloud,Simulation,Crafting,Sandbox,Multiplayer,Sci-fi,Survival,Open World Survival Craft,Action,Adventure,Indie,FPS,Exploration,Space Sim,First-Person,Online PvP,Space,Online Co-op,Great Soundtrack,Atmospheric,Procedural Generation,Open World,Single-player",Hello Games,Hello Games,225,2016,59.99,63.09391979
"Steam Cloud,Roguelite,Shooter,Third Person,Soundtrack,Multiplayer,Survival,Action,Difficult,Online Co-Op,Bullet Hell,Indie,Third-Person Shooter,Roguelike,Online PvP,Online Co-op,Great Soundtrack,Co-op,Early Access,Action Roguelike,Loot,Single-player,Steam Leaderboards,Looter Shooter",Hopoo Games,Gearbox Publishing,224,2020,24.99,94.37848182
"Steam Cloud,Third Person,Crafting,Multiplayer,Sandbox,Survival,Open World Survival Craft,Action,Adventure,Horror,Exploration,First-Person,Online Co-op,Cute, Base Building,Co-op,Early Access,RPG,Open World,Single-player,Funny,Online Co-Op",Obsidian Entertainment,Xbox Game Studios,210,2020,29.99,84.25441608
"Steam Cloud,Third Person,Historical,Character Customization,Multiplayer,Team-Based,Gore,Survival,Action,Medieval,Competitive,Indie,FPS,First-Person,Swordplay,Online PvP,Stats,Online Co-op,Hack and Slash,Fighting,Realistic,PvP,PvE,Online Co-Op",Triternion,Triternion,119,2019,29.99,81.51710279
"Steam Cloud,Third Person,Post-apocalyptic,Multiplayer,Story Rich,Sci-fi,Female Protagonist,Action,Hunting,Archery,Adventure,Action RPG,Exploration,Beautiful,Robots,Great Soundtrack,Atmospheric,RPG,Open World,Single-player,Dinosaurs",Guerrilla,PlayStation Mobile,220,2020,49.99,69.31072982
"Steam Cloud,Shooter,Simulation,Massively Multiplayer,Multiplayer,Steam Workshop,Post-apocalyptic,Sandbox,Survival,Action,Adventure,Indie,FPS,Horror,First-Person,Online PvP,Atmospheric,Co-op,Early Access,Survival Horror,Zombies,Open World,PvP",Bohemia Interactive,Bohemia Interactive,347,2018,44.99,65.16619093
"Third Person,Party-Based RPG,Free to Play,Massively Multiplayer,Character Customization,Multiplayer,Story Rich,Sci-fi,Action,Adventure,Action RPG,Space,Great Soundtrack,CRPG,Atmospheric,MMORPG,In-App Purchases,RPG,Open World,PvP,Choices Matter,MMO",BioWare,Electronic Arts,354,2011,0,84.39052627
"Steam Cloud,Remake,Third Person,Character Customization,Story Rich,Female Protagonist,Action,Moddable,Adventure,First-Person,Dragons,Magic,Great Soundtrack,Stealth,Atmospheric,Fantasy,RPG,Open World,Classic,Walking Simulator,Single-player",Bethesda Game Studios,Bethesda Softworks,301,2016,39.99,90.23289226
"Sports,Simulation,Golf,Shared/Split Screen Co-op,In-App Purchases,Online PvP,Online Co-op,Local Multiplayer,Turn-Based,Single-player,Shared/Split Screen PvP",HB Studios Multimedia Ltd.,2K,233,2020,59.99,75.29284001
"Steam Cloud,Massively Multiplayer,Crafting,Multiplayer,Steam Workshop,Sandbox,Sci-fi,Survival,Open World Survival Craft,Action,Building,Adventure,Indie,First-Person,Dragons, Base Building,Co-op,Early Access,RPG,Open World,Single-player,Includes level editor,MMO,Dinosaurs","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC",Studio Wildcard,239,2017,49.99,77.11541841
"Steam Cloud,Automation,Simulation,Crafting,Multiplayer,Sandbox,Sci-fi,Survival,Open World Survival Craft,Building,Adventure,Indie,Exploration,First-Person,Online Co-op,Resource Management, Base Building,Co-op,Early Access,Strategy,Cross-Platform Multiplayer,Open World,Single-player",Coffee Stain Studios,Coffee Stain Publishing,160,2020,29.99,93.62523809
"Steam Cloud,Simulation,Funny,Family Friendly,Sandbox,Steam Workshop,Mod,Economy,Action,Building,Moddable,Modern,Casual,Management,Resource Management,Real-Time with Pause,Great Soundtrack,Replay Value,Realistic,Strategy,Single-player,Includes level editor,City Builder",Colossal Order Ltd.,Paradox Interactive,69,2015,29.99,90.56293677
"Anime,Software,Sandbox,Steam Workshop,Mature,NSFW,Action,Indie,Casual,Horror,Design & Illustration,Animation & Modeling,Memes,Music,Game Development,Cute,Photo Editing,Early Access,Utilities,Includes level editor,Funny",Wallpaper Engine Team,Wallpaper Engine Team,320,2018,3.99,96.79557779
"Futuristic,Shooter,Simulation,Multiplayer,Steam Workshop,Story Rich,Gore,Sci-fi,Action,Parkour,FPS,First-Person,Robots,Great Soundtrack,Atmospheric, Hero Shooter,Co-op,Quick-Time Events,Zombies,Single-player,Steam Leaderboards,Illuminati","Treyarch, Aspyr",Activision,309,2015,59.99,74.41751027
"Steam Cloud,Simulation,Crafting,Sandbox,Steam Workshop,2D,Sci-fi,Survival,Action,Building,Moddable,Indie,Management,Space,Colony Sim,Great Soundtrack, Base Building,Atmospheric,Early Access,Strategy,Open World,Single-player",Ludeon Studios,Ludeon Studios,290,2018,34.99,96.29806705
"Violent,Shooter,Dark Comedy,Post-apocalyptic,Multiplayer,Capitalism,Gore,Survival,Horror,FPS,Exploration,Online PvP,Online Co-op,Great Soundtrack, Base Building,Atmospheric,MMORPG,Co-op,Early Access,In-App Purchases,RPG,Open World,MMO",Bethesda Game Studios,Bethesda Softworks,105,2020,39.99,72.75638787
"Shooter,Simulation,Free to Play,Massively Multiplayer,Naval Combat,Historical,Multiplayer,Team-Based,Military,War,Naval,Action,World War II,Online PvP,Online Co-op,Tactical,Co-op,Realistic,In-App Purchases,Strategy,PvP,MMO,PvE,Online Co-Op",Wargaming Group Limited,Wargaming Group Limited,319,2017,0,78.57426187
"Real Time Tactics,Multiplayer,Steam Workshop, Grand Strategy,LAN PvP,Story Rich,War,Games Workshop,Action,Dark Fantasy,Turn-Based,LAN Co-op,RTS,Online PvP,Online Co-op,Great Soundtrack,Atmospheric,Tactical,Warhammer 40K,Co-op,Turn-Based Strategy,Fantasy,Strategy,Single-player,Dinosaurs","CREATIVE ASSEMBLY, Feral Interactive",SEGA,271,2017,59.99,90.24615012
"Shooter,Simulation,Third Person,Multiplayer,Team-Based,Survival,Action,Difficult,Competitive,FPS,Third-Person Shooter,Battle Royale,First-Person,Online PvP,Stats,Stealth,Tactical,Co-op,Early Access,Strategy,PvP,Online Co-Op",PUBG Corporation,PUBG Corporation,355,2017,29.99,51.6260288
"Steam Cloud,Simulation,Tabletop,Physics,Multiplayer,Steam Workshop,Sandbox,Shared/Split Screen PvP,Shared/Split Screen Co-op,Board Game,Moddable,VR,Indie,Casual,Chess,Strategy RPG,Online PvP,Online Co-op,Gambling,Co-op,Relaxing,Card Game,Cross-Platform Multiplayer,Strategy,RPG,Single-player,Includes level editor,Online Co-Op",Berserk Games,Berserk Games,156,2015,19.99,92.62000607
"Steam Cloud,Violent,Party-Based RPG,Character Customization,Post-apocalyptic,Story Rich,Gore,Isometric,Turn-Based Combat,Turn-Based,Turn-Based Tactics,Online Co-op,Great Soundtrack,CRPG,Tactical,Co-op,Strategy,RPG,Sexual Content,Single-player,Choices Matter",inXile Entertainment,inXile Entertainment,240,2020,59.99,76.83500768
"Steam Cloud,Remake,Violent,Third Person,Multiplayer,Story Rich,Gore,Female Protagonist,Action,Difficult,Adventure,Horror,Third-Person Shooter,Online PvP,Great Soundtrack,Atmospheric,Co-op,Survival Horror,Zombies,Classic,Sexual Content,Single-player",CAPCOM Co.,CAPCOM Co.,93,2020,59.99,71.18501318
"Steam Cloud,Simulation,Crafting,Multiplayer,Sandbox,2D,Building,Fishing,Life Sim,Pixel Graphics,Dating Sim,Indie,LAN Co-op,Casual,Online Co-op,Great Soundtrack,Cute,Agriculture,Farming Sim,Relaxing,RPG,Open World,Single-player",ConcernedApe,ConcernedApe,57,2016,14.99,95.81924039
"Violent,Third Person,Multiplayer,Survival,Shared/Split Screen Co-op,Difficult,Moddable,Adventure,Exploration,Stats,Online Co-op,Split Screen,Resource Management,Atmospheric,Co-op,Souls-like,Fantasy,Realistic,RPG,Open World,Single-player,Local Co-Op,Online Co-Op",Nine Dots Studio,Deep Silver,85,2019,39.99,72.66666179
"Steam Cloud,Shooter,Third Person,Post-apocalyptic,Sandbox,Story Rich,Sci-fi,Survival,Action,Adventure,Action RPG,Casual,FPS,Third-Person Shooter,Exploration,First-Person,Great Soundtrack,Atmospheric,RPG,Open World,Single-player",Bethesda Game Studios,Bethesda Softworks,313,2015,29.99,75.88838582
"Steam Cloud,Simulation,Crafting,Sandbox,Gore,Survival,Open World Survival Craft,Action,Building,Adventure,Indie,LAN Co-op,Horror,Exploration,First-Person,Online Co-op,Atmospheric,Early Access,Survival Horror,Realistic,Zombies,Open World,Single-player",Endnight Games Ltd,Endnight Games Ltd,120,2018,19.99,92.75873901
"Free to Play,Massively Multiplayer,Multiplayer,2D,Shared/Split Screen PvP,Survival,Action,Shared/Split Screen Co-op,Controller,4 Player Local,Adventure,Indie,Online PvP,Online Co-op,Local Multiplayer,Fighting,Beat 'em up,Platformer,2D Fighter,Co-op,Early Access,Cross-Platform Multiplayer,Single-player,Local Co-Op,Online Co-Op",Blue Mammoth Games,Ubisoft,290,2017,0,82.89773212
"Futuristic,Anime,Multiplayer,Sports,Action,Difficult,Moddable,VR,Indie,Fast-Paced,Casual,Music-Based Procedural Generation,First-Person,Music,Swordplay,Memes,Great Soundtrack,Rhythm,Early Access,Single-player,Steam Leaderboards",Beat Games,Beat Games,141,2019,29.99,93.98522511
"Simulation,Character Customization,Post-apocalyptic,Sandbox,Multiplayer,Survival,Open World Survival Craft,Action,Building,FPS,Exploration,Voxel,Procedural Generation,Early Access,Survival Horror,Cross-Platform Multiplayer,Zombies,RPG,Open World,Single-player,Includes level editor,Online Co-Op",The Fun Pimps,The Fun Pimps Entertainment LLC,347,2013,24.99,82.67472291
"Steam Cloud,Crafting,Sandbox,Multiplayer,2D,Survival,Open World Survival Craft,Action,Building,Adventure,Pixel Graphics,Indie,Exploration,Online PvP,Online Co-op,Replay Value,Platformer,Atmospheric,Co-op,RPG,Open World,Single-player,Online Co-Op",Re-Logic,Re-Logic,136,2011,9.99,96.04949715
"Steam Cloud,Tabletop,Multiplayer,Steam Workshop,Dungeon Crawler,Difficult,Board Game,Adventure,Turn-Based,Hex Grid,Turn-Based Tactics,Roguelike,Online Co-op,Tactical RPG,Replay Value,Co-op,Early Access,Turn-Based Strategy,3D,Strategy,RPG,Single-player,Online Co-Op",Flaming Fowl Studios,Asmodee Digital,198,2019,24.99,80.77492438
"Point & Click,Family Friendly,Multiple Endings,2D,Choices Matter,Action,Comedy,Adventure,Indie,Interactive Fiction,Casual,Captions available,Memes,Hand-drawn,Choose Your Own Adventure,Parody,Old School,Classic,Single-player,Epic,Funny",PuffballsUnited,Innersloth,220,2020,14.99,95.99678955
